g_loss,d_loss
6.18871,4.97100
3.11241,1.34753
2.26679,0.53306
1.80571,0.25749
1.28642,0.19924
1.23804,0.14657
3.05817,1.81581
7.99091,4.00448
4.75331,1.83812
3.31671,0.93402
3.13177,0.53552
2.63374,0.37911
3.09399,0.28936
12.88662,7.62488
13.17263,5.38161
6.29502,2.32214
6.35782,1.50542
5.55095,0.88264
5.80430,0.93736
5.65560,0.80284
24.91711,10.82512
18.07267,5.89966
13.86045,3.98019
9.80317,2.82820
14.51612,2.73741
10.69582,1.93069
18.03502,5.85487
41.60322,18.93613
24.02441,8.95859
19.61480,6.58054
20.22722,5.91116
19.26990,5.24121
20.94922,5.55151
42.25523,14.95787
60.97718,23.25477
53.77088,20.79752
36.03526,12.49639
29.67632,10.49919
30.31302,11.32449
32.69924,11.29467
